id,name,created_at,updated_at
322,BAUZA EXPORT LT,2025-08-13 17:14:23,2025-08-13 17:14:23
323,COMERC.TOCORNAL,2025-08-13 17:14:23,2025-08-13 17:14:23
324,FRIG.DEL NORTE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
325,BOU FRUITS LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
326,AGR.MONFRUT LT,2025-08-13 17:14:23,2025-08-13 17:14:23
327,AGROMARINE LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
328,AGUA FRIA LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
329,CIENAGO LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
330,AGRONUEZ CHOAPA,2025-08-13 17:14:23,2025-08-13 17:14:23
331,AGROMIALQUI SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
332,LUFRAN CHILE LT,2025-08-13 17:14:23,2025-08-13 17:14:23
333,CRISTIAN CUADRA,2025-08-13 17:14:23,2025-08-13 17:14:23
334,VALLE CENTRAL S,2025-08-13 17:14:23,2025-08-13 17:14:23
335,SEBASTIAN BRION,2025-08-13 17:14:23,2025-08-13 17:14:23
336,MATYFRUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
337,LOS CRISTALES,2025-08-13 17:14:23,2025-08-13 17:14:23
338,FRUTEMU LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
339,LOS FRANCISCOS,2025-08-13 17:14:23,2025-08-13 17:14:23
340,FRANCO A.YAÑEZ,2025-08-13 17:14:23,2025-08-13 17:14:23
341,NEFUEN TRADING,2025-08-13 17:14:23,2025-08-13 17:14:23
342,AGROMAXIMO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
343,EXPOR.RENO LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
344,SPREAFICO CHILE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
345,EXP.AGUA SANTA,2025-08-13 17:14:23,2025-08-13 17:14:23
