id,name,species_id,variety_name_type,created_at
1088,SIN ESPECIFICAR,42,blackberries_variety,2025-08-13 17:14:23
1089,SUNRISE,6,blueberries_variety,2025-08-13 17:14:23
1090,SIN ESPECIFICAR,43,pineapples_variety,2025-08-13 17:14:23
1091,BRONCEADA,7,cherimoya_variety,2025-08-13 17:14:23
1092,MEDA REX,15,cherries_variety,2025-08-13 17:14:23
1093,1151,15,cherries_variety,2025-08-13 17:14:23
1094,MEDA TIGER,15,cherries_variety,2025-08-13 17:14:23
1095,CHEERY BLUSH,15,cherries_variety,2025-08-13 17:14:23
1096,SANTINA 1,15,cherries_variety,2025-08-13 17:14:23
1097,NIMBA,15,cherries_variety,2025-08-13 17:14:23
1098,CHERRY,15,cherries_variety,2025-08-13 17:14:23
1099,GOLDEN,12,oranges_variety,2025-08-13 17:14:23
1100,LYCHEE GRAPE,18,grape_variety,2025-08-13 17:14:23
1101,SUPLUMSIX,17,plums_variety,2025-08-13 17:14:23
1102,IMAMURA AKI,20,nashi pear_variety,2025-08-13 17:14:23
1103,MAYLEN (INIAGRAPE ONE CV),18,grape_variety,2025-08-13 17:14:23
1104,LATE RED,17,plums_variety,2025-08-13 17:14:23
1105,VIOGNIER,38,grape_variety,2025-08-13 17:14:23
1106,ENZA GOLD,8,kiwifruit_variety,2025-08-13 17:14:23
1107,FUJI TAPADA,2,apples_variety,2025-08-13 17:14:23
1108,SIN ESPECIFICAR,24,garlic_variety,2025-08-13 17:14:23
1109,WONDERFUL,44,pomegranate arils_variety,2025-08-13 17:14:23
1110,PINOT NOIR,38,grape_variety,2025-08-13 17:14:23
1111,PEARLICIOUS VI,27,nectarines_variety,2025-08-13 17:14:23
1112,RUBY PEARL,27,nectarines_variety,2025-08-13 17:14:23
1113,RUBY SUN,28,peaches_variety,2025-08-13 17:14:23
1114,GIANT PHOENIC,17,plums_variety,2025-08-13 17:14:23
1115,TIMPSON - SHEEGENE 2,18,grape_variety,2025-08-13 17:14:23
1116,SWEET ANNE,17,plums_variety,2025-08-13 17:14:23
1117,BI GREEN AND RED,18,grape_variety,2025-08-13 17:14:23
1118,DOWN SEEDLESS,18,grape_variety,2025-08-13 17:14:23
1119,GREEN RED,17,plums_variety,2025-08-13 17:14:23
1120,SWEET JOY,17,plums_variety,2025-08-13 17:14:23
1121,RED STAR,17,plums_variety,2025-08-13 17:14:23
1122,ARCTIC RED,27,nectarines_variety,2025-08-13 17:14:23
1123,THOMPSON DOWN,18,grape_variety,2025-08-13 17:14:23
1124,JUNE GLO,27,nectarines_variety,2025-08-13 17:14:23
1125,SABLE SEEDLESS(SUGRASIXTEEN),18,grape_variety,2025-08-13 17:14:23
1126,SIN ESPECIFICAR,26,pomegranate_variety,2025-08-13 17:14:23
1127,PERLETTE,18,grape_variety,2025-08-13 17:14:23
1128,IFG EIGHTEEN,18,grape_variety,2025-08-13 17:14:23
1129,EXPRESSION,16,onions_variety,2025-08-13 17:14:23
1130,SUNSET DELIGHT,17,plums_variety,2025-08-13 17:14:23
1131,C535,17,plums_variety,2025-08-13 17:14:23
1132,JULY SWEET,17,plums_variety,2025-08-13 17:14:23
1133,AUTUMM BLACK,17,plums_variety,2025-08-13 17:14:23
1134,CRIMSON LADY,28,peaches_variety,2025-08-13 17:14:23
1135,CRUNCH,6,blueberries_variety,2025-08-13 17:14:23
1136,RED ELISA SEEDLES,18,grape_variety,2025-08-13 17:14:23
1137,NECTARPERLE,27,nectarines_variety,2025-08-13 17:14:23
1138,BLACK,18,grape_variety,2025-08-13 17:14:23
1139,RED GIANT,27,nectarines_variety,2025-08-13 17:14:23
1140,FIRE SWET,27,nectarines_variety,2025-08-13 17:14:23
1141,SUPER GIANT,27,nectarines_variety,2025-08-13 17:14:23
1142,SEPTEMBER QUEEN,27,nectarines_variety,2025-08-13 17:14:23
1143,MIDNIGHT BEAUTY (SUGRATHIRTEE,18,grape_variety,2025-08-13 17:14:23
1144,SUGAR PLUMS D AGEN,17,plums_variety,2025-08-13 17:14:23
1145,M20 22,17,plums_variety,2025-08-13 17:14:23
1146,DIAMOND,27,nectarines_variety,2025-08-13 17:14:23
1147,GLEN RED,17,plums_variety,2025-08-13 17:14:23
1148,HONEY PUNCH,17,plums_variety,2025-08-13 17:14:23
1149,SWEET DELIGTH,17,plums_variety,2025-08-13 17:14:23
1150,SWEET ROSA,17,plums_variety,2025-08-13 17:14:23
1151,NECTAJEWEL REGALIN,27,nectarines_variety,2025-08-13 17:14:23
1152,SUPER FLAME SEEDLESS,18,grape_variety,2025-08-13 17:14:23
1153,THOMPSON QUEN RED,18,grape_variety,2025-08-13 17:14:23
1154,CHERRYPLUM,17,plums_variety,2025-08-13 17:14:23
1155,ARCTIC BEAUT,27,nectarines_variety,2025-08-13 17:14:23
1156,SWEET HEART,17,plums_variety,2025-08-13 17:14:23
1157,NECTARPERLE REGALIN,27,nectarines_variety,2025-08-13 17:14:23
1158,RUBY KAT,17,plums_variety,2025-08-13 17:14:23
1159,YELLOW HONEY,27,nectarines_variety,2025-08-13 17:14:23
1160,CEKOYA CRUSH,6,blueberries_variety,2025-08-13 17:14:23
1161,ARTIC STAR,27,nectarines_variety,2025-08-13 17:14:23
1162,NAPOLEON,15,cherries_variety,2025-08-13 17:14:23
1163,SWEET PIXIE,17,plums_variety,2025-08-13 17:14:23
1164,PACIFIC RED,15,cherries_variety,2025-08-13 17:14:23
1165,4004,27,nectarines_variety,2025-08-13 17:14:23
1166,PEACH BLUE,6,blueberries_variety,2025-08-13 17:14:23
1167,CEKOYA GRANDE,6,blueberries_variety,2025-08-13 17:14:23
1168,SWEET BITE,27,nectarines_variety,2025-08-13 17:14:23
1169,CARLA,28,peaches_variety,2025-08-13 17:14:23
1170,CANDY SWEET,28,peaches_variety,2025-08-13 17:14:23
1171,DU 158,28,peaches_variety,2025-08-13 17:14:23
1172,BELLA,6,blueberries_variety,2025-08-13 17:14:23
1173,BLANCOS,24,garlic_variety,2025-08-13 17:14:23
1174,FCM 14052,6,blueberries_variety,2025-08-13 17:14:23
1175,FRESNO,45,strawberries_variety,2025-08-13 17:14:23
1176,UNSPECIFIED,3,avocados_variety,2025-08-13 17:14:23
1177,VALENCIA SALUSTIANA,12,oranges_variety,2025-08-13 17:14:23
1178,MORIA,13,mandarins_variety,2025-08-13 17:14:23
1179,VALENCIA,12,oranges_variety,2025-08-13 17:14:23
1180,LISBOA,14,lemons_variety,2025-08-13 17:14:23
1181,CLEMENVILLA,21,clementine_variety,2025-08-13 17:14:23
1182,BURPEACHTWELVE,28,peaches_variety,2025-08-13 17:14:23
1183,FLAME KING,27,nectarines_variety,2025-08-13 17:14:23
1184,EARLY ELEGANT LADY,28,peaches_variety,2025-08-13 17:14:23
1185,ROSIE ROOKE,6,blueberries_variety,2025-08-13 17:14:23
1186,EXTREME 712,27,nectarines_variety,2025-08-13 17:14:23
1187,N7 92,17,plums_variety,2025-08-13 17:14:23
1188,RUBY SWEET,27,nectarines_variety,2025-08-13 17:14:23
1189,GRAND ROSA,17,plums_variety,2025-08-13 17:14:23
1190,PURPLE QUEEN,17,plums_variety,2025-08-13 17:14:23
1191,MUIR BEAUTY,17,plums_variety,2025-08-13 17:14:23
1192,EMERAL BEAUT,17,plums_variety,2025-08-13 17:14:23
1193,EXTREM 733,27,nectarines_variety,2025-08-13 17:14:23
1194,JIRO,22,persimmons_variety,2025-08-13 17:14:23
1195,MARRONE DI CASTEL DEL RIO,19,chestnuts_variety,2025-08-13 17:14:23
1196,RED REGAL,17,plums_variety,2025-08-13 17:14:23
1197,MAMMOUTH,23,feijoas_variety,2025-08-13 17:14:23
1198,MIX FLAME,18,grape_variety,2025-08-13 17:14:23
1199,JUGALA,2,apples_variety,2025-08-13 17:14:23
1200,ROJA SUPREMA,2,apples_variety,2025-08-13 17:14:23
1201,PRESIDENT,17,plums_variety,2025-08-13 17:14:23
1202,ARRA 15/CRIMSON,18,grape_variety,2025-08-13 17:14:23
1203,SIN ESPECIFICAR,20,nashi pear_variety,2025-08-13 17:14:23
1204,ITUMTEN,18,grape_variety,2025-08-13 17:14:23
1205,SPRING BEAUT,17,plums_variety,2025-08-13 17:14:23
1206,RIBER SEEDLESS,18,grape_variety,2025-08-13 17:14:23
1207,MASENA 4408,6,blueberries_variety,2025-08-13 17:14:23
1208,IVU 524,15,cherries_variety,2025-08-13 17:14:23
1209,MEDA BULL,15,cherries_variety,2025-08-13 17:14:23
1210,MEDA WOLF,15,cherries_variety,2025-08-13 17:14:23
1211,BING 5,15,cherries_variety,2025-08-13 17:14:23
1212,BING V,15,cherries_variety,2025-08-13 17:14:23
1213,MARCONA,10,almonds_variety,2025-08-13 17:14:23
1214,SWEET GABRIEL,15,cherries_variety,2025-08-13 17:14:23
1215,AZTECA,29,apricot_variety,2025-08-13 17:14:23
1216,APRISWEET,29,apricot_variety,2025-08-13 17:14:23
1217,ROYAL HELEN,15,cherries_variety,2025-08-13 17:14:23
1218,IVU 105,15,cherries_variety,2025-08-13 17:14:23
1219,ICE FLAME,27,nectarines_variety,2025-08-13 17:14:23
1220,BIG BOY 1,27,nectarines_variety,2025-08-13 17:14:23
1221,CRISTAL,16,onions_variety,2025-08-13 17:14:23
1222,EXTREME W,27,nectarines_variety,2025-08-13 17:14:23
1223,AURORA,28,peaches_variety,2025-08-13 17:14:23
1224,BING 1,15,cherries_variety,2025-08-13 17:14:23
1225,SPARKLING RED,27,nectarines_variety,2025-08-13 17:14:23
1226,SEPTEMBER CREST,28,peaches_variety,2025-08-13 17:14:23
1227,LATEBLUE,6,blueberries_variety,2025-08-13 17:14:23
1228,SIN ESPECIFICAR,46,kumquats_variety,2025-08-13 17:14:23
1229,NOVA,13,mandarins_variety,2025-08-13 17:14:23
1230,CEBOLLINO,16,onions_variety,2025-08-13 17:14:23
1231,GARRIC WHITE,24,garlic_variety,2025-08-13 17:14:23
1232,KIKU,2,apples_variety,2025-08-13 17:14:23
1233,MAIA 1,2,apples_variety,2025-08-13 17:14:23
1234,KIWI RED,8,kiwifruit_variety,2025-08-13 17:14:23
1235,SWEET LORENZ,15,cherries_variety,2025-08-13 17:14:23
